gene_ontology_primary_id	gene_ontology_name	gene_ontology_all_ids	gene
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT2G24150
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT4G30850
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT4G37680
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT4G38320
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT5G20270
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT1G20950
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT1G28330
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT1G61800
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT1G74670
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT2G28900
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT3G47340
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT4G37220
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT5G41670
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT3G11220
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT1G31930
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT2G23460
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT4G34390
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT1G08830
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT2G28190
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT1G77120
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT2G39990
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT1G72320
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT1G16880
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT3G12700
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT1G15440
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT3G16690
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT3G04120
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT5G04140
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT4G01900
GO:0034285	response to disaccharide	GO:0009744;GO:0034285	AT3G52430
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT2G26540
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G40850
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G63290
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G03475
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G09940
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G58290
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G69740
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT2G40490
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT3G14930
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT3G48730
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G01690
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G03205
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G08280
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G14220
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G63570
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT2G30390
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT2G44520
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT3G21200
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G26030
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G56090
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G69720
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT2G26550
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT2G26670
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G03630
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G08520
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G44446
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G74470
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT3G51820
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT3G56940
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G18480
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G25080
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G27440
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G13630
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G16440
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G18660
